date,supply_id,total_possible_utilization,supply_category_id,del_imps,edges,avg_perf,num_dem_cats,frac_util
1,3848026,865,1,2,1,1,1,0.0023
1,3848031,784387,4,21032,37,0.06,14,0.0268
1,3848039,31,1,3,3,1,2,0.0968
1,3848043,43160970,4,819256,49,0.05,16,0.019
1,3848044,287202,2,90463,174,0.09,29,0.315
1,3848045,363687,4,2873,40,0.07,14,0.0079
1,3848047,2185,1,455,8,0.81,2,0.2082
1,3848048,231,1,137,1,0.91,1,0.5931
1,3848050,2339,1,335,11,0.93,2,0.1432
1,3848051,371,1,269,2,0.95,1,0.7251
1,3848052,228,1,43,2,0.47,2,0.1886
1,3848073,131760,2,29153,163,0.46,29,0.2213
1,3848078,434285,3,99482,172,0.81,24,0.2291
1,3848079,405050,3,23796,124,0.77,25,0.0587
1,3848082,430619,3,54080,114,0.8,21,0.1256
1,3848083,376,3,113,30,0.44,6,0.3005
1,3848084,427453,3,76223,113,0.82,25,0.1783
1,3848085,319181,3,51532,115,0.8,21,0.1615
1,3848090,741445,3,133314,138,0.87,24,0.1798
1,3848094,27,2,0,0,0,0,0
1,3848098,24278,2,275,11,0.89,3,0.0113
1,3848124,13,1,0,0,0,0,0
1,3848130,118,1,7,1,1,1,0.0593
1,3848141,325,1,246,7,0.32,4,0.7569
1,3848149,13728086,3,1959429,264,0.26,35,0.1427
1,3848155,56,2,0,0,0,0,0
1,3848186,110237,3,487,4,0.02,3,0.0044
1,3848187,21427,3,3065,8,0.34,3,0.143
1,3848188,96470,3,433,4,0.01,3,0.0045
1,3848189,9,NA,0,0,0,0,0
1,3848190,5308,3,39,2,0,2,0.0073
1,3848191,4,NA,0,0,0,0,0
1,3848210,522,2,241,29,0.51,11,0.4617
1,3848215,88147,1,6948,3,0.98,1,0.0788
1,3848216,13667,1,0,0,0,0,0
1,3848218,240509,1,136659,154,0.99,22,0.5682
1,3848220,51682,1,27572,37,0.81,5,0.5335
1,3848232,559,1,368,15,0.77,8,0.6583
1,3848249,2443460,3,1146,21,0.69,16,5e-04
1,3848250,14596611,3,2447921,177,0.6,36,0.1677
1,3848251,965535,3,159368,9,0.55,8,0.1651
1,3848284,58349,4,401,10,0.03,5,0.0069
1,3848287,3339883,2,370552,168,0.91,34,0.1109
1,3848295,72,3,5,3,0,3,0.0694
1,3848307,3417,1,30,3,0.93,3,0.0088
1,3848318,2525,3,809,85,0.51,17,0.3204
1,3848322,13368,1,8968,18,0.73,5,0.6709
1,3848323,9527,1,849,6,0.53,3,0.0891
1,3848324,3526,1,2895,16,0.76,6,0.821
1,3848325,8,1,1,1,1,1,0.125
1,3848332,47922,4,422,4,0.94,3,0.0088
1,3848335,226,3,13,1,0.92,1,0.0575
1,3848339,86,NA,0,0,0,0,0
1,3848341,5,NA,0,0,0,0,0
1,3848385,406823,1,25416,77,0.59,9,0.0625
1,3848396,34,1,0,0,0,0,0
1,3848398,444937,3,112037,149,0.82,30,0.2518
1,3848408,231904,2,7869,62,0.18,24,0.0339
1,3848410,2174,4,524,3,0.76,2,0.241
1,3848413,11,3,1,1,1,1,0.0909
1,3848414,16740,3,2270,4,0.8,3,0.1356
1,3848416,12936,1,290,23,0.73,12,0.0224
1,3848417,5437,1,1182,12,0.64,6,0.2174
1,3848418,1280,1,9,1,0.89,1,0.007
1,3848419,1225,1,115,2,0.68,2,0.0939
1,3848422,52967,2,14526,2,0.87,2,0.2742
1,3848423,11285,2,0,0,0,0,0
1,3848424,88585,3,44,5,0.3,5,5e-04
1,3848425,7624045,3,611951,152,0.59,36,0.0803
1,3848431,22612,1,18401,23,0.4,5,0.8138
1,3848448,239,1,202,9,0.09,5,0.8452
1,3848449,24,1,12,2,0.75,2,0.5
1,3848459,1434969,2,29470,92,0.35,28,0.0205
1,3848460,1205116,2,249254,97,0.37,28,0.2068
1,3848462,1260,1,765,84,0.88,11,0.6071
1,3848494,152197,1,47418,39,0.75,7,0.3116
1,3848495,78348,1,30700,33,0.81,6,0.3918
1,3848521,1155,1,1015,18,0.68,9,0.8788
1,3848559,613649,3,11417,81,0.27,26,0.0186
1,3848574,44217,1,2606,28,0.87,11,0.0589
1,3848589,11796,1,1729,40,0.5,18,0.1466
1,3848598,491,4,0,0,0,0,0
1,3848599,1800,4,303,16,0.17,10,0.1683
1,3848607,4,1,0,0,0,0,0
1,3848620,1395868,4,368299,297,0.61,26,0.2638
1,3848655,1980117,1,309495,148,0.22,18,0.1563
1,3848656,2006338,1,220186,193,0.27,18,0.1097
1,3848668,16220,3,288,15,0.41,9,0.0178
1,3848669,38032,3,326,25,0.06,11,0.0086
1,3848678,6309,1,910,6,0.65,1,0.1442
1,3848680,10,3,4,4,0.75,2,0.4
1,3848681,4,3,0,0,0,0,0
1,3848682,3,NA,0,0,0,0,0
1,3848684,16173,1,11082,78,0.69,8,0.6852
1,3848691,13,3,0,0,0,0,0
1,3848695,10,1,2,1,1,1,0.2
1,3848703,545751,3,237052,98,0.98,8,0.4344
1,3848711,80878,1,56065,77,0.21,14,0.6932
1,3848724,29,1,8,2,0.87,1,0.2759
1,3848731,2,1,1,1,1,1,0.5
1,3848732,5,2,5,1,0.4,1,1
1,3848750,2681,1,1025,3,0.67,2,0.3823
1,3848753,599,1,83,26,0.73,8,0.1386
1,3848756,71363,2,632,3,0.34,3,0.0089
1,3848787,1205,3,595,17,0.03,7,0.4938
1,3848824,2083727,3,272923,46,0.72,21,0.131
1,3848828,389,1,373,35,0.44,3,0.9589
1,3848834,6,2,0,0,0,0,0
1,3848844,1902,1,2,1,0,1,0.0011
1,3848849,482,4,166,32,0.86,12,0.3444
1,3848854,215,1,148,6,0.74,3,0.6884
1,3848855,14,1,1,1,1,1,0.0714
1,3848858,11,2,1,1,0,1,0.0909
1,3848862,2806,1,726,25,0.7,5,0.2587
1,3848865,5,1,1,1,1,1,0.2
1,3848868,2,1,0,0,0,0,0
1,3848878,183,1,40,4,0.58,2,0.2186
1,3848884,1,3,0,0,0,0,0
1,3848885,34,3,6,1,0.5,1,0.1765
1,3848906,1001798,4,10456,45,0.67,19,0.0104
1,3848911,286,1,104,25,0.26,13,0.3636
1,3848916,1,NA,0,0,0,0,0
1,3848924,10955,1,2792,107,0.52,24,0.2549
1,3848946,129315,1,78033,167,0.76,29,0.6034
1,3848947,605582,1,127897,170,0.71,20,0.2112
1,3848949,2,1,0,0,0,0,0
1,3848950,1,1,0,0,0,0,0
1,3848966,179,3,42,3,0.05,1,0.2346
1,3848978,210,1,168,10,0.77,2,0.8
1,3848996,3513,2,402,42,0.26,15,0.1144
1,3848997,58305,1,7208,48,0.7,13,0.1236
1,3848998,4148,1,3797,112,0.45,11,0.9154
1,3849003,1567,1,1310,16,0.7,6,0.836
1,3849004,51,1,6,1,0.33,1,0.1176
1,3849005,9,1,9,1,0,1,1
1,3849006,95,1,1,1,0,1,0.0105
1,3849007,215,1,1,1,1,1,0.0047
1,3849008,397,1,0,0,0,0,0
1,3849027,1,1,0,0,0,0,0
1,3849029,13652788,3,733803,229,0.8,31,0.0537
1,3849030,560975,3,6,2,0.33,2,0
1,3849037,2631,1,2485,14,0.76,2,0.9445
1,3849041,184054,2,2,2,0.5,2,0
1,3849048,5417658,2,676100,56,0.21,9,0.1248
1,3849057,1250,2,174,25,0.36,6,0.1392
1,3849077,700152,4,41,3,0.63,3,1e-04
1,3849083,8,4,0,0,0,0,0
1,3849087,10,4,0,0,0,0,0
1,3849099,634,NA,0,0,0,0,0
1,3849151,10,2,0,0,0,0,0
1,3849152,13,1,0,0,0,0,0
1,3849154,2,1,0,0,0,0,0
1,3849156,3,1,2,2,0.5,1,0.6667
1,3849168,7,4,0,0,0,0,0
1,3849178,8,NA,0,0,0,0,0
1,3849179,33,2,0,0,0,0,0
1,3849180,16,2,0,0,0,0,0
1,3849181,186,1,0,0,0,0,0
1,3849183,555,2,1,1,0,1,0.0018
1,3849186,8861,2,216,6,0.84,3,0.0244
1,3849187,832,1,19,6,0.95,2,0.0228
1,3849189,1792,1,0,0,0,0,0
1,3849193,1575,1,115,3,0.95,2,0.073
1,3849194,797,1,5,3,1,2,0.0063
1,3849195,3299,2,14,5,0.93,3,0.0042
1,3849197,4,NA,0,0,0,0,0
1,3849200,21768,2,216,13,0.82,3,0.0099
1,3849207,172,1,24,2,0.83,2,0.1395
1,3849208,1,NA,0,0,0,0,0
1,3849209,487,1,319,14,0.8,10,0.655
1,3849210,111,1,1,1,1,1,0.009
1,3849211,74,1,34,3,0.76,3,0.4595
1,3849221,811,1,449,26,0.57,11,0.5536
1,3849222,2183,1,749,24,0.65,9,0.3431
1,3849223,4,1,0,0,0,0,0
1,3849224,2,1,2,2,1,1,1
1,3849225,8764,1,4256,67,0.69,12,0.4856
1,3849226,4872,1,2137,28,0.74,12,0.4386
1,3849333,5074242,2,554105,124,0.03,17,0.1092
1,3849334,7816739,2,969145,116,0.04,17,0.124
1,3849346,273897,1,56079,98,0.68,29,0.2047
1,3849380,451016,2,0,0,0,0,0
1,3849384,68711,2,19875,6,0.83,3,0.2893
1,3849385,1,2,0,0,0,0,0
1,3849387,538,2,0,0,0,0,0
1,3849389,94,2,0,0,0,0,0
1,3849390,1477031,2,0,0,0,0,0
1,3849391,99718,2,658,17,0.63,5,0.0066
1,3849394,69,2,0,0,0,0,0
1,3849396,28,3,2,2,1,1,0.0714
1,3849401,337683,1,109623,61,0.72,22,0.3246
1,3849402,18714,1,10285,14,0.12,7,0.5496
1,3849403,35715,1,7972,5,0.78,3,0.2232
1,3849410,1079,3,632,48,0.64,3,0.5857
1,3849411,1433,3,590,31,0.32,4,0.4117
1,3849413,1,3,0,0,0,0,0
1,3849440,216646,3,104749,54,0.47,23,0.4835
1,3849469,2251,4,1300,5,0.01,2,0.5775
1,3849470,3,1,1,1,0,1,0.3333
1,3849471,11251,4,1694,76,0.14,5,0.1506
